,Datetime,Tweet Id,Text,Username
38,2023-02-23 04:24:11+00:00,1628611656031821825,"Sekjen PBB Antonio Guterres mengutuk invasi Rusia ke Ukraina saat Majelis Umum PBB bertemu, dua hari sebelum peringatan setahun serangan Moskow tersebut. https://t.co/SNKmdIfLu7",detikcom
39,2023-02-23 04:23:10+00:00,1628611398535364611,"Putin Sinyalkan Gunakan Nuklir Jelang Setahun Invasi Rusia di Ukraina, Perang Masih Lama? https://t.co/UQUEWiW5ua",KompasTV
40,2023-02-23 04:18:39+00:00,1628610264164864001,"@UN you condemn Russia. But you are afraid to condemn Israel??
@RTErdogan @MWLOrg_en @jokowi

https://t.co/Y6UjsZiTc5

Sekjen PBB Antonio Guterres mengutuk invasi Rusia ke Ukraina saat Majelis Umum PBB bertemu dalam sesi khusus pada Rabu (22/2) waktu setempat.",RachmatW_RW
41,2023-02-23 04:07:47+00:00,1628607527620341760,Rusia Kehilangan Setengah Armada Tank Terbaik Sejak Invasi#Short Video https://t.co/4lsEljwQv5,tribunjogja
42,2023-02-23 04:05:47+00:00,1628607024341590018,Rusia Kehilangan Setengah Armada Tank Terbaik Sejak Invasi https://t.co/SWnQni4WzA,tribunjogja
43,2023-02-23 03:00:02+00:00,1628590477086957571,"Tweeps, Presiden AS Joe Biden memuji kekuatan negara-negara Bucharest Nine di tengah invasi Rusia ke Ukraina. Sementara itu, negosiasi tentang kode etik untuk Laut Cina Selatan akan diintensifkan tahun ini, kata pejabat RI &amp; China. Simak infonya di sini! https://t.co/xqViIor4wx",voaindonesia
44,2023-02-23 02:05:32+00:00,1628576763436744707,Hari Ini Majelis Umum PBB Putuskan Sikap tentang Invasi Rusia ke Ukraina https://t.co/uSqPXj0jnU #TempoDunia,tempodotco
45,2023-02-23 02:05:03+00:00,1628576641915191303,"""Seperti yang saya katakan sejak hari pertama, invasi Rusia ke Ukraina bertentangan dengan prinsip dan nilai sistem multilateral kita.""  https://t.co/i0yHWHDFQQ",mediaindonesia
46,2023-02-23 00:39:36+00:00,1628555137861169152,"@el666diabloloco @Harrytimteng @CNNIndonesia semua miskalkulasi disini. zelenski dgn provoke nya menduga rusia paling banter cm berani unjuk gigi di perbatasan. trnyata rusia berani. putin jg gegabah ambil simpulan zelenski ini rempeyek yg bs hancur dlm hitungan minggu, mknya dia ambil opsi invasi penuh. ternyata ga begitu",randytemanmu
47,2023-02-22 21:14:08+00:00,1628503428497563648,"Jelang Setahun Invasi di Ukraina, Putin: Hubungan Rusia-China Penting untuk Stabilitas Internasional https://t.co/2Du7L6kog9",KompasTV
48,2023-02-22 21:03:37+00:00,1.6285E+18,Ibu Negara Ukraina Singgung Pelanggaran HAM Rusia Selama Invasi https://t.co/dmu2LZ2Ml8,20detik
49,2023-02-22 17:01:06+00:00,1628439753904500737,"#Vladimir Putin#Invasi#Ukraina!

Presiden Rusia Vladimur Putin bersumpah akan melanjutkan invasi ke Ukraina sampai tujuan Rusia tercapai.

https://t.co/0fvCRVTb1F",serambinews
50,2023-02-22 16:49:14+00:00,1628436764170878979,"Sejumlah merek ternama dari negara Barat seperti Coca-Cola, Zara dan IKEA memutuskan angkat kaki dari Rusia sebagai protes atas invasi ke Ukraina. https://t.co/fMkPoOjBTr",detikfinance
51,2023-02-22 16:36:31+00:00,1628433566442065920,Paus Desak Gencatan Senjata di Ukraina Menjelang Peringatan Invasi Rusia https://t.co/zKZRt3AYf9 #TempoDunia,tempodotco
52,2023-02-22 15:17:34+00:00,1628413696027557889,"Setahun Invasi Ukraina, Bagaimana Pandangan Publik Rusia? https://t.co/S4Ce5B7F2r",IDNTimes
53,2023-02-22 14:28:56+00:00,1628401458575216645,"Majelis Umum PBB Bersiap Pemungutan Suara untuk Akhiri Perang Ukraina

Majelis Umum PBB akan melangsungkan pemungutan suara minggu ini atas resolusi yang menggarisbawahi urgensi perdamaian permanen di Ukraina, satu tahun setelah invasi Rusia

 https://t.co/poIvUUzAyC",IQRAWay
54,2023-02-22 14:21:47+00:00,1628399657151008768,"Faktanya, pemerintah Indonesia belum pernah melakukan boikot terhadap produk Uni Eropa sebagai respon atas sikap UE yang memboikot minyak Rusia setelah Putin mengumumkan invasi Rusia ke Ukraina.
 
Selengkapnya di https://t.co/vcVCpmibIE 
#cekfakta #periksafakta",cekfaktacom
55,2023-02-22 13:56:33+00:00,1628393308723740672,"Kapitalisme tidak bisa mengontrol dirinya sendiri.

Sejumlah merek ternama dari negara Barat seperti Coca-Cola, Zara dan IKEA memutuskan angkat kaki dari Rusia sebagai protes atas invasi ke Ukraina.
 https://t.co/tWNxXCVx4p",miftahfaridmh
56,2023-02-22 13:07:48+00:00,1628381042112626690,@yo2thok Barusan presiden AS joe biden ketemu Zalensky peringati setahun invasi agresor rusia. Berjanji akan kirim bantuan militer lebih canggih.,AlbertKusen12
57,2023-02-22 12:44:32+00:00,1628375185291374595,"Sebentar lagi first anniversary invasi Rusia ke Ukraina, tapi tanda-tanda eskalasi semakin terlihat dengan safari kunjungan Biden minggu ini??",_naufalmajid
58,2023-02-22 11:01:03+00:00,1628349142283214850,"Setahun invasi Rusia ke Ukraina jatuh pada hari Jumat (24/2/23).  

Kantor Komisaris Tinggi PBB untuk Hak Asasi Manusia mencatat setidaknya ada 8.006 warga sipil yang tewas dan 13.287 orang terluka di Ukraina akibat invasi Rusia. &lt; #Global #RusiaUkraina
https://t.co/SDkdStdOiA",kompascom
59,2023-02-22 10:01:43+00:00,1628334211609272321,SETAHUN INVASI RUSIA KE UKRAINA TEWASKAN  8 006 WARGA SIPIL TEWAS https://t.co/FtsVRRkRja,tribunjogja
60,2023-02-22 09:24:10+00:00,1628324759208615937,"Profil Letnan Jenderal Rustam Muradov, Sosok Dibalik Keberhasilan Rusia Invasi Ukraina https://t.co/DhLkYZrgiw",VIVAcoid
61,2023-02-22 09:06:33+00:00,1628320326668144640,@randytemanmu @CNNIndonesia Cari tau dulu alasan kenapa Rusia invasi Ukraina! Dasar penyefong barat! Penyepong Amerika! Penyepong penjajah!,dwiyuli_anto
62,2023-02-22 08:10:37+00:00,1628306249854111746,"Perusahaan Eropa, Amerika Utara, dan Jepang telah hengkang dari Rusia sejak invasi. https://t.co/Mk0zhcJHoe",republikaonline
63,2023-02-22 07:58:32+00:00,1628303212129447936,"Profil Yevgeny Nikiforov, Jendral Muslim Rusia Dibalik Suksesnya Invasi ke Ukraina https://t.co/k1drFQR03C",VIVAcoid
